"","-","N","Age (mean, y)","Age (SD, y)","Sex (N male)","Available visual read (N)","Cognitively unimpaired (N)","Cognitively impaired (N)","Cognitively unimpaired male (N)","Cognitively unimpaired female (N)","Cognitively impaired male (N)","Cognitively impaired female (N)","Available APOE (N)","APOE4 Non-Carriers (N)","APOE4 Homozygous Carriers (N)","APOE4 Heterozygous Carriers (N)","APOE4 CU Non-Carriers (N)","APOE4 CU Homozygous Carriers (N)","APOE4 CU Heterozygous Carriers (N)","APOE4 CI Non-Carriers (N)","APOE4 CI Homozygous Carriers (N)","APOE4 CI Heterozygous Carriers (N)","Available Dx (N)","Controls (N)","MCI (N)","Dementia (N)","Available CDR (N)","Controls (CDR = 0, N)","Patient (CDR >= 0.5, N)","CDR (mean)","CDR (SD)","Available MMSE (N)","MMSE (mean)","MMSE (SD)","G1 mean (CL)","G1 mean 95%CI lower bound (CL)","G1 mean 95%CI upper bound (CL)","G2 mean (CL)","G2 mean 95%CI lower bound (CL)","G2 mean 95%CI upper bound (CL)","G1 SD (CL)","G1 SD 95%CI lower bound (CL)","G1 SD 95%CI upper bound (CL)","G2 SD (CL)","G2 SD 95%CI lower bound (CL)","G2 SD 95%CI upper bound (CL)","GMM Cutoff (CL)","GMM Cutoff 95%CI lower bound (CL)","GMM Cutoff 95%CI upper bound (CL)","GMM Cutoff Clearly Negative P=0.50 (CL)","GMM Cutoff Clearly Negative P=0.50 95%CI lower bound (CL)","GMM Cutoff Clearly Negative P=0.50 95%CI upper bound (CL)","GMM Cutoff Clearly Positive P=0.50 (CL)","GMM Cutoff Clearly Positive P=0.50 95%CI lower bound (CL)","GMM Cutoff Clearly Positive P=0.50 95%CI upper bound (CL)","GMM Cutoff Clearly Negative P=0.60 (CL)","GMM Cutoff Clearly Negative P=0.60 95%CI lower bound (CL)","GMM Cutoff Clearly Negative P=0.60 95%CI upper bound (CL)","GMM Cutoff Clearly Positive P=0.60 (CL)","GMM Cutoff Clearly Positive P=0.60 95%CI lower bound (CL)","GMM Cutoff Clearly Positive P=0.60 95%CI upper bound (CL)","GMM Cutoff Clearly Negative P=0.70 (CL)","GMM Cutoff Clearly Negative P=0.70 95%CI lower bound (CL)","GMM Cutoff Clearly Negative P=0.70 95%CI upper bound (CL)","GMM Cutoff Clearly Positive P=0.70 (CL)","GMM Cutoff Clearly Positive P=0.70 95%CI lower bound (CL)","GMM Cutoff Clearly Positive P=0.70 95%CI upper bound (CL)","GMM Cutoff Clearly Negative P=0.80 (CL)","GMM Cutoff Clearly Negative P=0.80 95%CI lower bound (CL)","GMM Cutoff Clearly Negative P=0.80 95%CI upper bound (CL)","GMM Cutoff Clearly Positive P=0.80 (CL)","GMM Cutoff Clearly Positive P=0.80 95%CI lower bound (CL)","GMM Cutoff Clearly Positive P=0.80 95%CI upper bound (CL)","GMM Cutoff Clearly Negative P=0.90 (CL)","GMM Cutoff Clearly Negative P=0.90 95%CI lower bound (CL)","GMM Cutoff Clearly Negative P=0.90 95%CI upper bound (CL)","GMM Cutoff Clearly Positive P=0.90 (CL)","GMM Cutoff Clearly Positive P=0.90 95%CI lower bound (CL)","GMM Cutoff Clearly Positive P=0.90 95%CI upper bound (CL)","Kappa-based Cutoff (CL)","Kappa-based Cutoff 95%CI lower bound (CL)","Kappa-based Cutoff 95%CI upper bound (CL)","Max Kappa","Max Kappa 95%CI lower bound","Max Kappa 95%CI upper bound","ROC-based Cutoff [Youden] (CL)","ROC-based Cutoff [Youden] 95%CI lower bound (CL)","ROC-based Cutoff [Youden] 95%CI upper bound (CL)","ROC-based AUC","ROC-based AUC 95% CI lower bound","ROC-based AUC 95% CI upper bound","ROC-based Cutoff [95%-sens] (CL)","ROC-based Cutoff [95%-sens] 95%CI lower bound (CL)","ROC-based Cutoff [95%-sens] 95%CI upper bound (CL)","ROC-based Cutoff [95%-spec] (CL)","ROC-based Cutoff [95%-spec] 95%CI lower bound (CL)","ROC-based Cutoff [95%-spec] 95%CI upper bound (CL)","ROC-based Cutoff [90%-sens] (CL)","ROC-based Cutoff [90%-sens] 95%CI lower bound (CL)","ROC-based Cutoff [90%-sens] 95%CI upper bound (CL)","ROC-based Cutoff [90%-spec] (CL)","ROC-based Cutoff [90%-spec] 95%CI lower bound (CL)","ROC-based Cutoff [90%-spec] 95%CI upper bound (CL)","Positive visual read (N)","Negative visual read (N)","CL in males (mean)","CL in females (mean)","CL in males (SD)","CL in females (SD)","CL in CU males (mean)","CL in CU females (mean)","CL in CU males (SD)","CL in CU females (SD)","CL in CI males (mean)","CL in CI females (mean)","CL in CI males (SD)","CL in CI females (SD)","CL in APOE4 Non-Carriers (mean)","CL in APOE4 Non-Carriers (SD)","CL in APOE4 Homozygous Carriers (mean)","CL in APOE4 Homozygous Carriers (SD)","CL in APOE4 Heterozygous Carriers (mean)","CL in APOE4 Heterozygous Carriers (SD)","CL in CU APOE4 Non-Carriers (mean)","CL in CU APOE4 Non-Carriers (SD)","CL in CU APOE4 Homozygous Carriers (mean)","CL in CU APOE4 Homozygous Carriers (SD)","CL in CU APOE4 Heterozygous Carriers (mean)","CL in CU APOE4 Heterozygous Carriers (SD)","CL in CI APOE4 Non-Carriers (mean)","CL in CI APOE4 Non-Carriers (SD)","CL in CI APOE4 Homozygous Carriers (mean)","CL in CI APOE4 Homozygous Carriers (SD)","CL in CI APOE4 Heterozygous Carriers (mean)","CL in CI APOE4 Heterozygous Carriers (SD)","CL in positive visual read (mean)","CL in positive visual read (SD)","CL in negative visual read (mean)","CL in negative visual read (SD)","CDR=0 (N)","CDR=0.5 (N)","CDR>=1 (N)","CL in CDR=0 (mean)","CL in CDR=0.5 (mean)","CL in CDR>=1 (mean)","CL in CDR=0 (SD)","CL in CDR=0.5 (SD)","CL in CDR>=1 (SD)","Correlation age-CL (rho)","Correlation age-CL (p-value)","Correlation age-CL in CU (rho)","Correlation age-CL in CU (p-value)","Correlation age-CL in CI (rho)","Correlation age-CL in CI (p-value)","Correlation MMSE-CL (rho)","Correlation MMSE-CL (p-value)"
"1","Full Cohort",118,65.3305084745763,9.36538004188765,72,118,"43","75","28","15","44","31",98,40,14,44,"18","4","13","22","10","31",118,43,19,56,118,43,75,0.800847457627119,0.857694759992311,118,22.1779661016949,6.93268162116072,20.926486591899,16.5460481019124,26.6208672438217,89.4140159118441,82.9454135344804,94.3582506136813,13.7012706456494,10.4048012965962,17.4017585669194,17.6653889644444,12.8187693612021,22.8422985851996,48.3290278831977,39.0196012845182,59.0441398056305,51.71,42.06175571159,60.9294983681172,51.72,42.3707524478243,60.9394983681171,50.25,40.6205016318829,59.4997491840586,53.18,43.7815048956485,62.5789967362343,48.68,38.9205016318828,57.8694983681172,54.72,45.1805016318829,64.1887459202929,46.78,36.8610032637657,56.0194983681171,56.53,46.9607524478243,66.1487459202929,43.79,33.7902508159414,53.4889967362343,59.24,49.4610032637657,69.1487459202929,30.520339,26.011572,38.807224,0.79403364011425,0.703517587939699,0.910756056780197,32.445261,25.3567605,39.324232,0.95628962295629,0.923313152896617,0.989266093015963,19.464371,12.285256,30.2343415,32.445261,25.7043895,39.324232,28.5389855,18.22652,38.2403285,28.5389855,23.519451,32.8753005,81,37,53.3209108055556,58.0279369130435,39.8404167330298,34.8132332755449,"12.22","18.64","9.77","7.36","79.48","77.09","27.58","25.33",48.892190725,37.7250913622308,54.7615550714286,37.3129090264652,64.19176575,37.8438853035691,"14.03","10.04","12.86","8.73","16.84","8.36","77.41","25.84","71.52","29.89","84.05","25.41",73.6082532345679,30.7426572878162,14.7600584864865,10.9157115612598,43,19,56,14.4560734651163,40.4814509473684,91.3862848035714,9.43201680735284,8.55606944239264,15.9394015828426,"0.23","0.01","0.29","0.06","0.1","0.4","-0.73","0"
"2","FBB",58,64.7068965517241,9.58252909642583,35,58,"-","-","-","-","-","-",48,24,6,18,"-","-","-","-","-","-",58,22,11,25,58,22,36,0.715517241379311,0.784230928247749,58,22.3275862068966,6.68433080284868,21.0106678682257,14.6373989202443,27.393084276117,90.2188106469039,62.728060382052,95.2722778414686,14.8893121655961,8.22566122323486,18.4630349877258,12.2313253972123,8.53104732368865,34.0460936916375,50.7892921994179,37.5453154263428,60.4216413151667,57.77,33.7372736623013,64.7777426565272,57.78,35.2223226187867,64.7877426565272,56.2,31.976521214477,62.5787459202929,59.36,37.1532606072385,66.8289967362343,54.57,29.1007524478243,60.1394983681172,61.02,38.4637622391214,69.0062377608786,52.78,25.0415048956485,57.4779934724686,62.86,40.0652671347699,71.2577426565272,50.63,22.8610359014226,53.9592475521757,65.17,42.0470554840168,73.9497491840586,26.011572,26.011572,38.807224,0.847368421052631,0.717990275526742,0.965018094089264,25.7043895,24.1560845,35.56547,0.96578947368421,0.924997479077246,1,13.6358985,10.679795,31.0145405,32.8753005,24.3181655,35.56547,26.4626575,12.809555,36.1170545,30.4249715,22.548469,35.3424715,38,20,47.0754416857143,56.3352456956522,38.2837815029548,35.7498376719284,"-","-","-","-","-","-","-","-",49.703278625,39.2050208936427,35.048396,30.5286727092057,56.3144086666667,38.2439111075843,"-","-","-","-","-","-","-","-","-","-","-","-",70.572078631579,29.9881531589771,13.0806061,11.596470230287,22,11,25,12.6137830454545,37.4461639090909,90.1576032,10.3367335828964,6.14460251187609,12.5013177790294,"-","-","-","-","-","-","-","-"
"3","FBP",60,65.9333333333333,9.19075929927311,37,60,"-","-","-","-","-","-",50,16,8,26,"-","-","-","-","-","-",60,21,8,31,60,21,39,0.883333333333334,0.922260793784173,60,22.0333333333333,7.21807210907119,19.0300674572215,13.7879834097735,55.527199872775,86.3424165581036,72.4062881161005,97.2723021263114,10.2460019642175,4.69829175899793,37.5291177182425,22.8121931701362,4.26087970773445,31.2681501248759,39.5220713856565,25.1944889758551,130.429012387293,41.23,25.8505016318829,99.16,41.24,26.3030097912971,95.1109706261087,39.84,24.9805016318829,99.8974918405858,42.58,27.4302508159414,95.9892475521757,38.28,23.7910032637657,100.230970626109,43.99,28.4012540797071,95.49824428841,36.27,22.4505016318829,102.309247552176,45.74,29.7515048956485,95.7462377608786,33,19.5905016318829,103.54297715364,48.26,31.0707524478243,96.7687459202929,28.769206,19.571799,52.534339,0.805194805194805,0.647651006711409,0.959677419354839,28.5389855,26.284492,45.3268845,0.946648426812585,0.892828296361634,1,19.1606315,8.759031,30.970604,40.4332445,26.284492,47.3802955,28.5389855,14.1593445,45.3268845,28.5389855,22.869547,45.3268845,43,17,59.228787,59.7206281304348,40.8950991012071,34.5683351409816,"-","-","-","-","-","-","-","-",47.675558875,36.6177298979005,69.546424375,36.5648178430213,69.6453206538462,37.3247897581562,"-","-","-","-","-","-","-","-","-","-","-","-",76.2913842790698,31.5003061823589,16.7358848235294,10.0363018408285,21,8,31,16.386092,44.654970625,92.3771570645161,8.18456196018853,9.99616829244772,18.3979889489047,"-","-","-","-","-","-","-","-"
